amine,carboxylic acid,product,conversion,gt,pred,prob
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2c(F)c(F)c(-c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)n(C)n1,0,0,0,0.12869298
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N2CCCC2C(O)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n(C)n1,0,0,0,0.29040122
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2ncc(Br)cc2OC(C)c2c(Cl)ccc(F)c2Cl)n(C)n1,0,0,0,0.19879122
CC(NC(C)c1ccccc1)c1ccccc1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N(C(C)c2ccccc2)C(C)c2ccccc2)n(C)n1,0,0,0,0.33836216
Nc1ccccc1-c1nc2ccccc2[nH]1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2ccccc2-c2nc3ccccc3[nH]2)n(C)n1,31.3,1,1,0.6173194
NN(Cc1ccccc1)c1ccccc1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)NN(Cc2ccccc2)c2ccccc2)n(C)n1,80.3,1,1,0.5183154
c1ccc2sc(N3CCNCC3)nc2c1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N2CCN(c3nc4ccccc4s3)CC2)n(C)n1,94.8,1,1,0.7498093
Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2cc(-c3ccccc3)c(O)c(-c3ccccc3)c2)n(C)n1,96.7,1,1,0.67790556
C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1,CC(C)Cc1cc(C(=O)O)n(C)n1,C=C(C)C(=O)OC1CC(C)(C)N(C(=O)c2cc(CC(C)C)nn2C)C(C)(C)C1,0,0,0,0.19788592
C1=Cc2ccccc2NCc2ccccc21,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N2Cc3ccccc3C=Cc3ccccc32)n(C)n1,0,0,0,0.33428514
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2ccccc2C(=O)Oc2ccc([N+](=O)[O-])cc2)n(C)n1,0,0,0,0.360969
Cc1onc(N)c1C,CC(C)Cc1cc(C(=O)O)n(C)n1,Cc1onc(NC(=O)c2cc(CC(C)C)nn2C)c1C,0,0,0,0.29380986
Nc1ccccc1C#Cc1ccccc1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)Nc2ccccc2C#Cc2ccccc2)n(C)n1,11.8,0,0,0.49139145
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,CC(C)Cc1cc(C(=O)O)n(C)n1,CCOc1cc(NC(=O)c2cc(CC(C)C)nn2C)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0,0,0,0.20352969
OC(c1ccccc1)(c1ccccc1)C1CCCN1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N2CCCC2C(O)(c2ccccc2)c2ccccc2)n(C)n1,34.2,1,0,0.39058265
C1CCC(NC2CCCCC2)CC1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N(C2CCCCC2)C2CCCCC2)n(C)n1,0,0,0,0.34378666
COc1cccc(Nc2ccccc2)c1,CC(C)Cc1cc(C(=O)O)n(C)n1,COc1cccc(N(C(=O)c2cc(CC(C)C)nn2C)c2ccccc2)c1,0,0,0,0.23567376
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)N2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)n(C)n1,87.6,1,1,0.6977171
COc1cccc(C(N)=S)c1,CC(C)Cc1cc(C(=O)O)n(C)n1,COc1cccc(C(=S)NC(=O)c2cc(CC(C)C)nn2C)c1,0,0,0,0.32095665
CC(N)c1ccccc1Br,CC(C)Cc1cc(C(=O)O)n(C)n1,CC(C)Cc1cc(C(=O)NC(C)c2ccccc2Br)n(C)n1,63.5,1,1,0.61536044
Nc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2c(F)c(F)c(-c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)cc1OC,0,0,0,0.027704535
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CCCN1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N2CCCC2C(O)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1OC,0,0,0,0.29953328
CC(Oc1cc(Br)cnc1N)c1c(Cl)ccc(F)c1Cl,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)Nc2ncc(Br)cc2OC(C)c2c(Cl)ccc(F)c2Cl)cc1OC,0,0,0,0.071740635
CC(NC(C)c1ccccc1)c1ccccc1,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)N(C(C)c2ccccc2)C(C)c2ccccc2)cc1OC,0,0,0,0.2767395
